methods,threads,best_positions,best_value,cost_time
PCC,1,"(18,17) ",1.00,0.000096
SSD,1,"(18,17) ",0.00,0.000045
PCC,2,"(18,17) ",1.00,0.000240
SSD,2,"(18,17) ",0.00,0.000252
PCC,3,"(18,17) ",1.00,0.000242
SSD,3,"(18,17) ",0.00,0.000244
PCC,4,"(18,17) ",1.00,0.000292
SSD,4,"(18,17) ",0.00,0.000281
PCC,5,"(18,17) ",1.00,0.000314
SSD,5,"(18,17) ",0.00,0.000285
PCC,6,"(18,17) ",1.00,0.000431
SSD,6,"(18,17) ",0.00,0.000393
PCC,7,"(18,17) ",1.00,0.001137
SSD,7,"(18,17) ",0.00,0.000391
PCC,8,"(18,17) ",1.00,0.000504
SSD,8,"(18,17) ",0.00,0.000433
PCC,9,"(18,17) ",1.00,0.000622
SSD,9,"(18,17) ",0.00,0.000461
PCC,10,"(18,17) ",1.00,0.000574
SSD,10,"(18,17) ",0.00,0.000621
PCC,11,"(18,17) ",1.00,0.000743
SSD,11,"(18,17) ",0.00,0.000686
PCC,12,"(18,17) ",1.00,0.000692
SSD,12,"(18,17) ",0.00,0.000729
PCC,13,"(18,17) ",1.00,0.000721
SSD,13,"(18,17) ",0.00,0.000835
PCC,14,"(18,17) ",1.00,0.001732
SSD,14,"(18,17) ",0.00,0.000939
PCC,15,"(18,17) ",1.00,0.000851
SSD,15,"(18,17) ",0.00,0.000796
PCC,16,"(18,17) ",1.00,0.001053
SSD,16,"(18,17) ",0.00,0.000932
PCC,17,"(18,17) ",1.00,0.001078
SSD,17,"(18,17) ",0.00,0.001130
PCC,18,"(18,17) ",1.00,0.001155
SSD,18,"(18,17) ",0.00,0.001154
PCC,19,"(18,17) ",1.00,0.001169
SSD,19,"(18,17) ",0.00,0.001199
PCC,20,"(18,17) ",1.00,0.001540
SSD,20,"(18,17) ",0.00,0.001315
PCC,21,"(18,17) ",1.00,0.000880
SSD,21,"(18,17) ",0.00,0.001107
PCC,22,"(18,17) ",1.00,0.001162
SSD,22,"(18,17) ",0.00,0.001434
PCC,23,"(18,17) ",1.00,0.001183
SSD,23,"(18,17) ",0.00,0.001310
PCC,24,"(18,17) ",1.00,0.001583
SSD,24,"(18,17) ",0.00,0.001437
PCC,25,"(18,17) ",1.00,0.001408
SSD,25,"(18,17) ",0.00,0.001309
PCC,26,"(18,17) ",1.00,0.001413
SSD,26,"(18,17) ",0.00,0.001387
PCC,27,"(18,17) ",1.00,0.001460
SSD,27,"(18,17) ",0.00,0.001443
PCC,28,"(18,17) ",1.00,0.001573
SSD,28,"(18,17) ",0.00,0.001398
PCC,29,"(18,17) ",1.00,0.001744
SSD,29,"(18,17) ",0.00,0.001653
PCC,30,"(18,17) ",1.00,0.001607
SSD,30,"(18,17) ",0.00,0.001847
PCC,31,"(18,17) ",1.00,0.001567
SSD,31,"(18,17) ",0.00,0.001523
PCC,32,"(18,17) ",1.00,0.001916
SSD,32,"(18,17) ",0.00,0.002194
